"NAME","UNITS","SCALE","FREQUENCY","DATE","VALUE","KEY_ID"
ASM,thousands,1,M,2000-01-01,76146639,1
ASM,thousands,1,M,2000-02-01,73011377,2
ASM,thousands,1,M,2000-04-01,78139993,3
ASM,thousands,1,M,2000-05-01,80515093,4
ASM,thousands,1,M,2000-06-01,80393854,5
ASM,thousands,1,M,2000-08-01,84702734,6
ASM,thousands,1,M,2000-09-01,79912506,7
ASM,thousands,1,M,2000-11-01,78368993,9
ASM,thousands,1,M,2000-12-01,79075993,10
ASM,thousands,1,M,2001-01-01,81196157,11
ASM,thousands,1,M,2001-02-01,73704583,12
ASM,thousands,1,M,2001-03-01,82211844,13
ASM,thousands,1,M,2001-04-01,80938470,14
ASM,thousands,1,M,2001-05-01,83754265,15
ASM,thousands,1,M,2001-06-01,82865877,16
ASM,thousands,1,M,2001-07-01,87079555,17
ASM,thousands,1,M,2001-08-01,87717155,18
ASM,thousands,1,M,2001-09-01,65361009,19
ASM,thousands,1,M,2001-10-01,69552136,20
ASM,thousands,1,M,2001-11-01,500.0,21
ASM,thousands,1,M,2001-12-01,69510768,22
ASM,thousands,1,M,2002-01-01,70105149,23
ASM,thousands,1,M,2002-02-01,64517654,24
ASM,thousands,1,M,2002-03-01,73503746,25
ASM,thousands,1,M,2002-04-01,72803818,26
ASM,thousands,1,M,2002-05-01,75809674,27
ASM,thousands,1,M,2002-06-01,76879798,28
ASM,thousands,1,M,2002-07-01,80595218,29
ASM,thousands,1,M,2002-08-01,80868442,30
ASM,thousands,1,M,2002-09-01,73849591,31
ASM,thousands,1,M,2002-10-01,77124746,32
ASM,thousands,1,M,2002-11-01,72812742,33
ASM,thousands,1,M,2002-12-01,75616059,34
ASM,thousands,1,M,2003-01-01,75100667,35
ASM,thousands,1,M,2003-02-01,66514415,36
ASM,thousands,1,M,2003-03-01,76228184,37
ASM,thousands,1,M,2003-04-01,70959285,38
ASM,thousands,1,M,2003-05-01,71761853,39
ASM,thousands,1,M,2003-07-01,79108160,41
ASM,thousands,1,M,2003-08-01,79595941,42
ASM,thousands,1,M,2003-09-01,73605919,43
ASM,thousands,1,M,2003-10-01,76529369,44
ASM,thousands,1,M,2003-11-01,73395323,45
ASM,thousands,1,M,2003-12-01,77335110,46
ASM,thousands,1,M,2004-01-01,77146785,47
ASM,thousands,1,M,2004-02-01,73880259,48
ASM,thousands,1,M,2004-03-01,81026015,49
ASM,thousands,1,M,2004-04-01,79318899,50
ASM,thousands,1,M,2004-05-01,81588952,51
ASM,thousands,1,M,2004-06-01,82779262,52
ASM,thousands,1,M,2004-07-01,86649009,53
ASM,thousands,1,M,2004-08-01,86942038,54
ASM,thousands,1,M,2004-09-01,77986620,55
ASM,thousands,1,M,2004-10-01,82291114,56
ASM,thousands,1,M,2004-11-01,79135732,57
ASM,thousands,1,M,2004-12-01,83231929,58
ASM,thousands,1,M,2005-01-01,81084792,59
ASM,thousands,1,M,2005-02-01,75440323,60
ASM,thousands,1,M,2005-03-01,85747280,61
ASM,thousands,1,M,2005-04-01,83050137,62
ASM,thousands,1,M,2005-05-01,85980392,63
ASM,thousands,1,M,2005-06-01,86609755,64
ASM,thousands,1,M,2005-07-01,90483563,65
ASM,thousands,1,M,2005-08-01,89608961,66
ASM,thousands,1,M,2005-09-01,80964733,67
ASM,thousands,1,M,2005-10-01,82318032,68
ASM,thousands,1,M,2005-11-01,79151133,69
ASM,thousands,1,M,2005-12-01,82918301,70
ASM,thousands,1,M,2006-01-01,81348009,71
ASM,thousands,1,M,2006-02-01,73757850,72
ASM,thousands,1,M,2006-03-01,85480121,73
ASM,thousands,1,M,2006-04-01,82991119,74
ASM,thousands,1,M,2006-05-01,85233860,75
ASM,thousands,1,M,2006-06-01,86336051,76
ASM,thousands,1,M,2006-07-01,90151121,77
ASM,thousands,1,M,2006-08-01,90024823,78
ASM,thousands,1,M,2006-09-01,81730332,79
ASM,thousands,1,M,2006-10-01,84229901,80
ASM,thousands,1,M,2006-11-01,80421711,81
ASM,thousands,1,M,2007-01-01,84354435,83
ASM,thousands,1,M,2007-02-01,75799074,84
ASM,thousands,1,M,2007-03-01,87561518,85
ASM,thousands,1,M,2007-04-01,85179094,86
ASM,thousands,1,M,2007-05-01,87873082,87
ASM,thousands,1,M,2007-06-01,88605372,88
ASM,thousands,1,M,2007-07-01,92900558,89
ASM,thousands,1,M,2007-08-01,92794576,90
ASM,thousands,1,M,2007-09-01,84375737,91
ASM,thousands,1,M,2007-10-01,86936676,92
ASM,thousands,1,M,2007-11-01,83926904,93
ASM,thousands,1,M,2007-12-01,87368019,94
ASM,thousands,1,M,2008-01-01,85823989,95
ASM,thousands,1,M,2008-02-01,80678778,96
ASM,thousands,1,M,2008-03-01,89259053,97
ASM,thousands,1,M,2008-04-01,85702945,98
ASM,thousands,1,M,2008-05-01,88697897,99
ASM,thousands,1,M,2008-06-01,89783653,100
ASM,thousands,1,M,2008-07-01,93730363,101
ASM,thousands,1,M,2008-08-01,91768764,102
ASM,thousands,1,M,2008-09-01,78680600,103
ASM,thousands,1,M,2008-10-01,80860346,104
ASM,thousands,1,M,2008-11-01,76460085,105
ASM,thousands,1,M,2008-12-01,79880143,106
ASM,thousands,1,M,2009-01-01,78697077,107
ASM,thousands,1,M,2009-02-01,71903819,108
ASM,thousands,1,M,2009-03-01,82111842,109
ASM,thousands,1,M,2009-04-01,79844963,110
ASM,thousands,1,M,2009-05-01,81580179,111
ASM,thousands,1,M,2009-06-01,83761399,112
ASM,thousands,1,M,2009-07-01,88185197,113
ASM,thousands,1,M,2009-08-01,86680535,114
ASM,thousands,1,M,2009-09-01,75867784,115
ASM,thousands,1,M,2009-10-01,77095147,116
ASM,thousands,1,M,2009-11-01,73745383,117
ASM,thousands,1,M,2009-12-01,77629338,118
ASM,thousands,1,M,2010-01-01,77531488,119
ASM,thousands,1,M,2010-02-01,68557029,120
ASM,thousands,1,M,2010-03-01,81417138,121
ASM,thousands,1,M,2010-04-01,78459014,122
ASM,thousands,1,M,2010-05-01,82596331,123
ASM,thousands,1,M,2010-06-01,85383747,124
ASM,thousands,1,M,2010-07-01,90033029,125
ASM,thousands,1,M,2010-08-01,88740810,126
ASM,thousands,1,M,2010-09-01,79616525,127
ASM,thousands,1,M,2010-10-01,82105210,128
ASM,thousands,1,M,2010-11-01,77714960,129
ASM,thousands,1,M,2010-12-01,80443268,130
ASM,thousands,1,M,2011-01-01,79340800,131
ASM,thousands,1,M,2011-02-01,71889049,132
ASM,thousands,1,M,2011-03-01,85571961,133
ASM,thousands,1,M,2011-04-01,82712741,134
ASM,thousands,1,M,2011-05-01,84747977,135
ASM,thousands,1,M,2011-06-01,87793502,136
ASM,thousands,1,M,2011-07-01,92505514,137
ASM,thousands,1,M,2011-08-01,89054159,138
ASM,thousands,1,M,2011-09-01,80009494,139
ASM,thousands,1,M,2011-10-01,81575563,140
ASM,thousands,1,M,2011-11-01,76327628,141
ASM,thousands,1,M,2011-12-01,81142502,142
ASM,thousands,1,M,2012-01-01,78692868,143
ASM,thousands,1,M,2012-02-01,74994689,144
ASM,thousands,1,M,2012-03-01,85281469,145
ASM,thousands,1,M,2012-04-01,82144193,146
ASM,thousands,1,M,2012-05-01,85193744,147
ASM,thousands,1,M,2012-06-01,87828881,148
ASM,thousands,1,M,2012-07-01,91937381,149
ASM,thousands,1,M,2012-08-01,89856820,150
ASM,thousands,1,M,2012-09-01,79960227,151
ASM,thousands,1,M,2012-10-01,80300875,152
ASM,thousands,1,M,2012-11-01,77419583,153
ASM,thousands,1,M,2012-12-01,80934358,154
ASM,thousands,1,M,2013-01-01,79165398,155
ASM,thousands,1,M,2013-02-01,72648062,156
ASM,thousands,1,M,2013-03-01,85647079,157
ASM,thousands,1,M,2013-04-01,83149109,158
ASM,thousands,1,M,2013-05-01,86666443,159
ASM,thousands,1,M,2013-06-01,89546169,160
ASM,thousands,1,M,2013-07-01,93813172,161
ASM,thousands,1,M,2013-08-01,92159953,162
ASM,thousands,1,M,2013-09-01,81546815,163
ASM,thousands,1,M,2013-10-01,83998713,164
ASM,thousands,1,M,2013-11-01,79452114,165
ASM,thousands,1,M,2013-12-01,83373980,166
ASM,thousands,1,M,2014-01-01,79779042,167
ASM,thousands,1,M,2014-02-01,72508207,168
ASM,thousands,1,M,2014-03-01,88159265,169
ASM,thousands,1,M,2014-04-01,84811525,170
ASM,thousands,1,M,2014-05-01,88468426,171
ASM,thousands,1,M,2014-06-01,91975247,172
ASM,thousands,1,M,2014-07-01,96520210,173
ASM,thousands,1,M,2014-08-01,93962667,174
ASM,thousands,1,M,2014-09-01,83490060,175
ASM,thousands,1,M,2014-10-01,86100071,176
ASM,thousands,1,M,2014-11-01,81651877,177
ASM,thousands,1,M,2014-12-01,86849506,178
ASM,thousands,1,M,2015-01-01,83421189,179
ASM,thousands,1,M,2015-02-01,74547659,180
ASM,thousands,1,M,2015-03-01,90323907,181
ASM,thousands,1,M,2015-04-01,88617951,182
ASM,thousands,1,M,2015-05-01,92777625,183
ASM,thousands,1,M,2015-06-01,95699034,184
ASM,thousands,1,M,2015-07-01,100991322,185
ASM,thousands,1,M,2015-08-01,98605906,186
ASM,thousands,1,M,2015-09-01,87311778,187
ASM,thousands,1,M,2015-10-01,89525077,188
ASM,thousands,1,M,2015-11-01,84942542,189
ASM,thousands,1,M,2015-12-01,90268214,190
ASM,thousands,1,M,2016-01-01,86324710,191
